n=20000
m=40000
from,to,cost
5828,13560,5
13560,13296,1
13296,1435,3
1435,11756,1
11756,6440,3
6440,4375,2
4375,18205,1
18205,7188,2
7188,18741,5
18741,5246,4
5246,18454,4
18454,15719,2
15719,8411,3
8411,12601,2
12601,164,1
164,6939,4
6939,19834,1
19834,15229,5
15229,7820,3
7820,722,3
722,16191,5
16191,11797,5
11797,19293,1
19293,12691,1
12691,15409,1
15409,16712,1
16712,8009,3
8009,6451,1
6451,5989,1
5989,141,4
141,2023,1
2023,5567,2
5567,10583,5
10583,14331,1
14331,16942,1
16942,8073,1
8073,16638,2
16638,1682,4
1682,9747,2
9747,4905,4
4905,14717,1
14717,3459,5
3459,7953,1
7953,9888,4
9888,10093,4
10093,8188,4
8188,5810,3
5810,19568,1
19568,10510,3
10510,15320,5
15320,12703,3
12703,16958,2
16958,14371,1
14371,4359,1
4359,9662,1
9662,1625,1
1625,16220,3
16220,5669,1
5669,15537,5
15537,9947,1
9947,16579,1
16579,247,1
247,12022,5
12022,16604,3
16604,1986,4
1986,18001,1
18001,12438,1
12438,5816,3
5816,15881,1
15881,2971,5
2971,1772,3
1772,932,2
932,5765,2
5765,15219,5
15219,17388,1
17388,9531,1
9531,11956,1
11956,10764,1
10764,1463,5
1463,14674,1
14674,19777,5
19777,16617,1
16617,9724,1
9724,3097,1
3097,6025,1
6025,14507,4
14507,14991,5
14991,12931,1
12931,16997,4
16997,8177,1
8177,17911,4
17911,10589,4
10589,18269,1
18269,11608,3
11608,6970,4
6970,1658,4
1658,14476,2
14476,405,2
405,3292,1
3292,12667,4
12667,822,1
822,11931,1
11931,7062,5
7062,12352,5
12352,11855,2
11855,11784,1
11784,13818,3
13818,2669,5
2669,6837,1
6837,12736,2
12736,3912,4
3912,14827,5
14827,15301,1
15301,57,3
57,2764,3
2764,11339,1
11339,11279,1
11279,15836,3
15836,7633,1
7633,7183,4
7183,14274,1
14274,378,1
378,5455,4
5455,4199,4
4199,10870,1
10870,13479,1
13479,10540,1
10540,14784,1
14784,10372,5
10372,14753,2
14753,7601,2
7601,15327,2
15327,3631,5
3631,13481,4
13481,19414,1
19414,4966,1
4966,7687,2
7687,14176,1
14176,12623,3
12623,16076,2
16076,14893,2
14893,11558,3
11558,1267,2
1267,2288,3
2288,19867,1
19867,4585,4
4585,617,1
617,18349,1
18349,8277,5
8277,4187,2
4187,15113,1
15113,17877,1
17877,12756,5
12756,9073,1
9073,17863,3
17863,12420,1
12420,4968,1
4968,17204,4
17204,17436,2
17436,7343,1
7343,337,4
337,1534,5
1534,13323,4
13323,17492,4
17492,15251,5
15251,5055,3
5055,19290,5
19290,1849,3
1849,646,2
646,14542,4
14542,7371,5
7371,11406,1
11406,1674,5
1674,15940,1
15940,9375,5
9375,11214,5
11214,18629,5
18629,17197,5
17197,1584,2
1584,4339,3
4339,1947,4
1947,5304,1
5304,14857,1
14857,4986,2
4986,2924,4
2924,10814,3
10814,3562,1
3562,5158,2
5158,11908,1
11908,4506,5
4506,3209,5
3209,275,4
275,16398,2
16398,15277,2
15277,12492,1
12492,1047,1
1047,16469,1
16469,15240,5
15240,17217,5
17217,8863,1
8863,5261,1
5261,5710,2
5710,14898,1
14898,19600,5
19600,15351,4
15351,5086,2
5086,16654,1
16654,15656,1
15656,14431,1
14431,3431,1
3431,3390,3
3390,4773,2
4773,11554,5
11554,11918,3
11918,10791,1
10791,3454,2
3454,6316,3
6316,9732,1
9732,14597,4
14597,17049,4
17049,18483,3
18483,10631,1
10631,19609,3
19609,3919,4
3919,13675,2
13675,13746,5
13746,16273,2
16273,7936,1
7936,385,1
385,15385,1
15385,6168,1
6168,7779,3
7779,8683,4
8683,8826,2
8826,6807,3
6807,6108,5
6108,16817,4
16817,11523,1
11523,9010,1
9010,5557,4
5557,16430,4
16430,28,4
28,18255,3
18255,731,1
731,3294,5
3294,15135,1
15135,17256,4
17256,1893,1
1893,4933,5
4933,11600,4
11600,18081,1
18081,9870,1
9870,15842,2
15842,10835,3
10835,15071,2
15071,135,3
135,16657,4
16657,7135,2
7135,16336,1
16336,12863,1
12863,12412,1
12412,2238,2
2238,2430,5
2430,14737,2
14737,4128,1
4128,444,2
444,14162,1
14162,1349,1
1349,12509,4
12509,6201,1
6201,8856,1
8856,14154,4
14154,8417,1
8417,1053,1
1053,11568,3
11568,6932,4
6932,4010,1
4010,10354,4
10354,13605,5
13605,8835,1
8835,9557,2
9557,3204,2
3204,15943,3
15943,18664,1
18664,16096,1
16096,18087,1
18087,19537,3
19537,1065,5
1065,3178,4
3178,4632,2
4632,2108,3
2108,9848,2
9848,19911,1
19911,11571,3
11571,1816,1
1816,7047,2
7047,6681,1
6681,5942,2
5942,2502,2
2502,4571,5
4571,14536,3
14536,15235,3
15235,18983,1
18983,535,4
535,13549,4
13549,9451,1
9451,11938,1
11938,877,4
877,18025,1
18025,17607,2
17607,13273,5
13273,15157,1
15157,12823,1
12823,17084,3
17084,4638,1
4638,18630,1
18630,16685,3
16685,11518,1
11518,12139,3
12139,18687,2
18687,8134,5
8134,10133,1
10133,11267,3
11267,15729,5
15729,3693,5
3693,6582,1
6582,5915,1
5915,11018,1
11018,7711,1
7711,6346,4
6346,8007,4
8007,12818,4
12818,19601,1
19601,8386,1
8386,45,5
45,3222,2
3222,9532,1
9532,6898,5
6898,19137,4
19137,19079,1
19079,8576,2
8576,2935,5
2935,15640,3
15640,11534,5
11534,5838,2
5838,14934,1
14934,17166,4
17166,5213,1
5213,11514,1
11514,13141,4
13141,2467,4
2467,14495,2
14495,19193,4
19193,7478,4
7478,17551,1
17551,12200,5
12200,5063,2
5063,9147,2
9147,12582,1
12582,14874,1
14874,1412,3
1412,17728,1
17728,780,4
780,15547,1
15547,7640,1
7640,15914,2
15914,16692,1
16692,4408,5
4408,15648,1
15648,5367,1
5367,11312,4
11312,12581,1
12581,16083,5
16083,17070,1
17070,10156,3
10156,4496,1
4496,15378,3
15378,485,3
485,14915,5
14915,488,5
488,16610,3
16610,14235,5
14235,9063,4
9063,19275,5
19275,7890,3
7890,8174,4
8174,2945,1
2945,2190,5
2190,6616,2
6616,4720,4
4720,13597,1
13597,13802,1
13802,5688,5
5688,19039,5
19039,9329,5
9329,10323,2
10323,2620,1
2620,19148,1
19148,19793,2
19793,13699,1
13699,6096,1
6096,19355,1
19355,15632,1
15632,19632,2
19632,12008,1
12008,2618,1
2618,10462,2
10462,15257,1
15257,6887,4
6887,15122,1
15122,14469,1
14469,7439,1
7439,8370,4
8370,7386,4
7386,4465,5
4465,1343,3
1343,5877,3
5877,13868,3
13868,11943,2
11943,19232,4
19232,7086,3
7086,15976,1
15976,10499,3
10499,6336,2
6336,11984,4
11984,10002,1
10002,4939,4
4939,8453,3
8453,366,4
366,2379,5
2379,2778,3
2778,15674,2
15674,13111,5
13111,16550,4
16550,3462,4
3462,1952,3
1952,19122,5
19122,4665,1
4665,5829,1
5829,9501,2
9501,19130,1
19130,5004,1
5004,449,4
449,10497,1
10497,15176,3
15176,7296,2
7296,11231,4
11231,8659,3
8659,5904,5
5904,12936,1
12936,18107,1
18107,13664,3
13664,1137,1
1137,17844,3
17844,3198,3
3198,3144,2
3144,2642,2
2642,2718,3
2718,13572,2
13572,7403,4
7403,960,2
960,11104,5
11104,16870,4
16870,16071,1
16071,1028,4
1028,10336,4
10336,8108,5
8108,4287,5
4287,4119,4
4119,1905,2
1905,16711,1
16711,5241,4
5241,2517,1
2517,11549,2
11549,16742,4
16742,18161,1
18161,17100,5
17100,11368,4
11368,7499,1
7499,18944,5
18944,14449,3
14449,9971,2
9971,18800,1
18800,1245,4
1245,17009,2
17009,3334,5
3334,659,3
659,12185,4
12185,3215,1
3215,1545,1
1545,5750,2
5750,13587,1
13587,16102,2
16102,4371,1
4371,5221,3
5221,18865,1
18865,15797,4
15797,4920,2
4920,3630,2
3630,1686,1
1686,3211,4
3211,15654,1
15654,11982,3
11982,11059,1
11059,16912,1
16912,4485,2
4485,3269,2
3269,5374,3
5374,6798,1
6798,7990,5
7990,13081,1
13081,1599,1
1599,8909,1
8909,12250,1
12250,9684,4
9684,6198,1
6198,1892,1
1892,19105,1
19105,6614,1
6614,4891,4
4891,13352,4
13352,2762,1
2762,19906,1
19906,3604,2
3604,90,3
90,18665,3
18665,13568,1
13568,10508,1
10508,7164,2
7164,1638,2
1638,2881,2
2881,12885,3
12885,10737,5
10737,6464,3
6464,19771,1
19771,5140,4
5140,9245,2
9245,6377,2
6377,15043,5
15043,2885,5
2885,936,2
936,2050,1
2050,7958,1
7958,1494,2
1494,10025,1
10025,6090,1
6090,9852,2
9852,8192,4
8192,10609,1
10609,8792,1
8792,6945,1
6945,792,1
792,9552,1
9552,14556,1
14556,14630,1
14630,14384,2
14384,15465,3
15465,19773,4
19773,988,1
988,17393,3
17393,7800,1
7800,7644,5
7644,16067,3
16067,13494,1
13494,10060,1
10060,4355,1
4355,8884,1
8884,8097,5
8097,9410,5
9410,6202,4
6202,10943,1
10943,16467,4
16467,6854,3
6854,13593,5
13593,4162,2
4162,13751,4
13751,14851,1
14851,2223,4
2223,18782,3
18782,8265,3
8265,19638,1
19638,14781,4
14781,15578,5
15578,13049,1
13049,18658,2
18658,12996,1
12996,18370,1
18370,3841,1
3841,10968,2
10968,12921,2
12921,12693,3
12693,1326,3
1326,11066,1
11066,2205,2
2205,897,1
897,18330,1
18330,16452,1
16452,12372,2
12372,16783,1
16783,8064,1
8064,17861,2
17861,17010,4
17010,7558,5
7558,12796,5
12796,729,5
729,5035,2
5035,226,4
226,10486,5
10486,7573,1
7573,18830,1
18830,2003,2
2003,2576,4
2576,1440,1
1440,7716,1
7716,19929,4
19929,3401,3
3401,16806,5
16806,19082,1
19082,15608,1
15608,2636,5
2636,12447,5
12447,10898,4
10898,18290,1
18290,9884,4
9884,17327,4
17327,289,1
289,11548,3
11548,8000,4
8000,11420,2
11420,5870,2
5870,8584,3
8584,5122,1
5122,19770,4
19770,328,5
328,19378,1
19378,19884,1
19884,19571,2
19571,19371,5
19371,13058,1
13058,10026,3
10026,3944,5
3944,10269,2
10269,11147,2
11147,7139,4
7139,16320,5
16320,11325,2
11325,13377,1
13377,17335,3
17335,9287,3
9287,2712,4
2712,4877,3
4877,3166,1
3166,4262,3
4262,16208,4
16208,12758,1
12758,4424,3
4424,18109,2
18109,2334,5
2334,10772,5
10772,9156,5
9156,15185,4
15185,492,3
492,17373,5
17373,8238,1
8238,17118,2
17118,19225,4
19225,19728,1
19728,17213,5
17213,7186,5
7186,8755,2
8755,8455,1
8455,12001,2
12001,17433,5
17433,3787,2
3787,10603,1
10603,3072,3
3072,15556,2
15556,4357,1
4357,12603,1
12603,6103,1
6103,7287,1
7287,3583,4
3583,557,4
557,5588,3
5588,19789,4
19789,17618,1
17618,8476,4
8476,13979,2
13979,17587,2
17587,18941,1
18941,6792,4
6792,18731,4
18731,13592,4
13592,10778,1
10778,7251,1
7251,6727,4
6727,14579,2
14579,5298,2
5298,15111,2
15111,7122,1
7122,7988,1
7988,14858,4
14858,4059,2
4059,10490,3
10490,14790,4
14790,10007,3
10007,16246,4
16246,10715,1
10715,10124,1
10124,11754,3
11754,12727,4
12727,13987,2
13987,3660,5
3660,17122,3
17122,13269,4
13269,5835,3
5835,17114,3
17114,12591,4
12591,899,3
899,6466,2
6466,2585,1
2585,13761,1
13761,13153,4
13153,4980,4
4980,10517,5
10517,18187,2
18187,3160,1
3160,15272,3
15272,15408,3
15408,1751,5
1751,18235,2
18235,7704,1
7704,10748,3
10748,211,2
211,10651,1
10651,14020,3
14020,7761,1
7761,14768,3
14768,19580,1
19580,7383,5
7383,8150,3
8150,19277,5
19277,17854,4
17854,11423,5
11423,12402,2
12402,3057,5
3057,11638,2
11638,8237,1
8237,13850,3
13850,9392,5
9392,4900,1
4900,2543,1
2543,3197,3
3197,2472,1
2472,9454,5
9454,17763,1
17763,17431,1
17431,2251,3
2251,776,5
776,3364,3
3364,12349,3
12349,4885,1
4885,9944,4
9944,1856,1
1856,15297,1
15297,18350,1
18350,1498,4
1498,19300,4
19300,4077,1
4077,7274,2
7274,7004,1
7004,4658,1
4658,6605,2
6605,8462,5
8462,16780,3
16780,992,4
992,12965,3
12965,3535,1
3535,15813,1
15813,9961,1
9961,9091,2
9091,4204,1
4204,14416,2
14416,10860,2
10860,5044,4
5044,12941,3
12941,3542,5
3542,8081,2
8081,9299,4
9299,9075,1
9075,5814,5
5814,530,1
530,8303,2
8303,2001,5
2001,13624,4
13624,15890,1
15890,16625,1
16625,2380,1
2380,9715,3
9715,6642,1
6642,14694,4
14694,7191,5
7191,9728,4
9728,9022,2
9022,6671,3
6671,15900,4
15900,9300,4
9300,9377,5
9377,4664,1
4664,13035,4
13035,17311,1
17311,9113,5
9113,2235,3
2235,13573,4
13573,6057,5
6057,3856,1
3856,9567,4
9567,2400,2
2400,15165,4
15165,6969,1
6969,10524,2
10524,15376,2
15376,2968,4
2968,4063,5
4063,12030,3
12030,1077,2
1077,6039,3
6039,17651,2
17651,8250,3
8250,2359,5
2359,12606,1
12606,18582,4
18582,4687,1
4687,6963,5
6963,6736,1
6736,13797,2
13797,16319,3
16319,9996,5
9996,16830,4
16830,7620,1
7620,12791,1
12791,17907,3
17907,2142,4
2142,3920,1
3920,6673,1
6673,6518,1
6518,12405,1
12405,5059,3
5059,10194,1
10194,19382,2
19382,667,2
667,4686,4
4686,10671,4
10671,7056,5
7056,10555,1
10555,1829,1
1829,6545,4
6545,12354,2
12354,17340,2
17340,17158,1
17158,14811,3
14811,783,4
783,9180,4
9180,16381,1
16381,19621,4
19621,79,2
79,8514,1
8514,13466,3
13466,10130,1
10130,6758,4
6758,15921,1
15921,6911,3
6911,3041,4
3041,10481,2
10481,18383,3
18383,15849,5
15849,1082,3
1082,16129,5
16129,10883,1
10883,10125,1
10125,13523,1
13523,14222,1
14222,16193,1
16193,19472,3
19472,360,5
360,18305,3
18305,8424,5
8424,6170,2
6170,7783,4
7783,8587,4
8587,19862,1
19862,100,1
100,4167,1
4167,2056,4
2056,8905,5
8905,19858,3
19858,11947,5
11947,11480,4
11480,15439,4
15439,3995,5
3995,6852,4
6852,5969,4
5969,13507,5
13507,4640,2
4640,13457,1
13457,16920,1
16920,15791,1
15791,17636,1
17636,1116,1
1116,18392,3
18392,4158,3
4158,3218,3
3218,8452,1
8452,5794,1
5794,3924,2
3924,15730,5
15730,9733,1
9733,6449,4
6449,16185,1
16185,17214,5
17214,14837,5
14837,8923,5
8923,13053,4
13053,911,5
911,11991,1
11991,10213,1
10213,14023,3
14023,17171,1
17171,11581,1
11581,13748,1
13748,7418,3
7418,17554,2
17554,19104,3
19104,18153,2
18153,19368,1
19368,16393,1
16393,9426,5
9426,6293,2
6293,10386,1
10386,3770,5
3770,12085,2
12085,4516,4
4516,8912,1
8912,17422,4
17422,5058,5
5058,25,2
25,14487,1
14487,13930,1
13930,13381,4
13381,4595,4
4595,10117,4
10117,15038,5
15038,10415,1
10415,17761,2
17761,8368,4
8368,10161,2
10161,979,3
979,17754,1
17754,2010,2
2010,7803,1
7803,4039,1
4039,2697,1
2697,18054,3
18054,19362,3
19362,1067,3
1067,7217,1
7217,3952,4
3952,3827,2
3827,1979,1
1979,671,4
671,2406,4
2406,975,1
975,1004,1
1004,6507,5
6507,11986,2
11986,9473,1
9473,13349,2
13349,14721,2
14721,9800,1
9800,18353,1
18353,10032,5
10032,2889,5
2889,6787,4
6787,15329,1
15329,17059,3
17059,9171,2
9171,4985,1
4985,6243,3
6243,876,4
876,14301,4
14301,14886,1
14886,16666,1
16666,15051,1
15051,17595,1
17595,17610,1
17610,9213,3
9213,12966,4
12966,12015,4
12015,8948,2
8948,12907,3
12907,17951,3
17951,10520,2
10520,6626,1
6626,19708,1
19708,2452,1
2452,9952,1
9952,3313,3
3313,9051,3
9051,17175,1
17175,12098,5
12098,15074,2
15074,13015,2
13015,505,4
505,11198,4
11198,6947,3
6947,15397,3
15397,12705,5
12705,2091,1
2091,12552,1
12552,8201,1
8201,4576,3
4576,19877,4
19877,848,4
848,1431,5
1431,12342,1
12342,16961,5
16961,3245,1
3245,298,5
298,13963,5
13963,40,5
40,7205,3
7205,5628,4
5628,6907,4
6907,2160,3
2160,7527,5
7527,17487,4
17487,16656,4
16656,15414,5
15414,491,2
491,2219,4
2219,5526,3
5526,9832,1
9832,3235,4
3235,12332,1
12332,16434,1
16434,18092,4
18092,4866,2
4866,17504,1
17504,5856,4
5856,10078,5
10078,3426,1
3426,5898,5
5898,7931,3
7931,1726,1
1726,14081,1
14081,7979,3
7979,18775,1
18775,19978,1
19978,13279,1
13279,5428,2
5428,6333,3
6333,6047,3
6047,14510,1
14510,127,4
127,15707,4
15707,11219,1
11219,7626,3
7626,16464,5
16464,8301,4
8301,9921,1
9921,1669,1
1669,18384,3
18384,3237,1
3237,13760,5
13760,9716,1
9716,15136,5
15136,19496,1
19496,3898,1
3898,11751,1
11751,18847,1
18847,2675,1
2675,16008,4
16008,13788,5
13788,10648,1
10648,1317,3
1317,7987,4
7987,5975,5
5975,12090,5
12090,18690,1
18690,18130,4
18130,9092,1
9092,859,2
859,18768,4
18768,3543,1
3543,7014,5
7014,6990,5
6990,19367,1
19367,9877,1
9877,2608,5
2608,12238,4
12238,1692,3
1692,17360,3
17360,13710,1
13710,11007,1
11007,3253,1
3253,7654,1
7654,7972,1
7972,11370,1
11370,19424,2
19424,6808,2
6808,15384,3
15384,15440,1
15440,3878,1
3878,4645,3
4645,16217,3
16217,7767,2
7767,6922,2
6922,5045,3
5045,15076,1
15076,5684,3
5684,13911,5
13911,1750,1
1750,8986,1
8986,6145,3
6145,19896,4
19896,19108,5
19108,16678,5
16678,603,3
603,2456,4
2456,9197,2
9197,6137,2
6137,12718,1
12718,17399,2
17399,6889,2
6889,11303,2
11303,19410,1
19410,4078,4
4078,5800,1
5800,10355,4
10355,18470,4
18470,5993,2
5993,2131,1
2131,13659,5
13659,15230,1
15230,17917,3
17917,7968,2
7968,2633,2
2633,8206,3
8206,10292,4
10292,19531,1
19531,3863,5
3863,4697,3
4697,12733,2
12733,3155,3
3155,17108,5
17108,3778,4
3778,1585,1
1585,13137,1
13137,9289,1
9289,19298,5
19298,3606,1
3606,14435,5
14435,5411,1
5411,17721,3
17721,7192,4
7192,2345,4
2345,10,3
10,1302,1
1302,9524,1
9524,18985,5
18985,16818,1
16818,4111,4
4111,19882,5
19882,4428,1
4428,14742,3
14742,15417,5
15417,4843,2
4843,7483,1
7483,1128,1
1128,18649,1
18649,15787,2
15787,13833,5
13833,7996,1
7996,6517,4
6517,10185,5
10185,12908,2
12908,15664,1
15664,14508,1
14508,12161,1
12161,12047,5
12047,13057,5
13057,931,2
931,640,3
640,9301,5
9301,3221,2
3221,13468,5
13468,11723,1
11723,3735,2
3735,7826,2
7826,4398,1
4398,7315,5
7315,1045,3
1045,17817,1
17817,19115,1
19115,18645,5
18645,3140,4
3140,1668,3
1668,15473,4
15473,9666,3
9666,3392,1
3392,10426,4
10426,6756,2
6756,4930,5
4930,5414,3
5414,14057,5
14057,12860,3
12860,3236,1
3236,14558,2
14558,4672,5
4672,1107,4
1107,7599,1
7599,4179,4
4179,9872,1
9872,1722,5
1722,17398,1
17398,18388,3
18388,1890,4
1890,3879,1
3879,1789,1
1789,2496,5
2496,8511,1
8511,3973,1
3973,4235,2
4235,12421,1
12421,5808,1
5808,3975,2
3975,1266,1
1266,4472,2
4472,11419,1
11419,7292,4
7292,3573,5
3573,16209,4
16209,18035,4
18035,10728,3
10728,11249,2
11249,5552,5
5552,16153,5
16153,9067,1
9067,10232,5
10232,9839,1
9839,3568,5
3568,14196,5
14196,15938,1
15938,17173,1
17173,14627,1
14627,13203,2
13203,11972,1
11972,1428,4
1428,10547,5
10547,418,1
418,2835,2
2835,18040,1
18040,19636,4
19636,7835,4
7835,19296,2
19296,8133,5
8133,9928,1
9928,18065,1
18065,16894,2
16894,8171,1
8171,5092,5
5092,10228,5
10228,12071,4
12071,3033,5
3033,11486,1
11486,5694,4
5694,5333,1
5333,16197,2
16197,10704,4
10704,8467,3
8467,10690,3
10690,17740,5
17740,8484,1
8484,11050,4
11050,10892,5
10892,17714,2
17714,17119,1
17119,15522,1
15522,605,4
605,14690,2
14690,2419,4
2419,18275,1
18275,13050,1
13050,2504,1
2504,2373,2
2373,10908,2
10908,12916,5
12916,16944,4
16944,12046,4
12046,15263,3
15263,462,5
462,5581,4
5581,15650,1
15650,9237,3
9237,6659,4
6659,9470,5
9470,6978,3
6978,13248,1
13248,5387,1
5387,18500,5
18500,7588,2
7588,5868,4
5868,13728,1
13728,2828,1
2828,13029,5
13029,18930,3
18930,608,5
608,6408,2
6408,18691,5
18691,7357,1
7357,1351,1
1351,11144,1
11144,4335,4
4335,5712,4
5712,5270,3
5270,5018,1
5018,5576,3
5576,12769,1
12769,1366,4
1366,15947,4
15947,11760,1
11760,3315,1
3315,125,1
125,4564,1
4564,14178,1
14178,9225,4
9225,17530,2
17530,10649,1
10649,13236,5
13236,9325,1
9325,8447,1
8447,2845,2
2845,11741,3
11741,6268,1
6268,4799,1
4799,17496,5
17496,16590,4
16590,5785,3
5785,8568,1
8568,2261,3
2261,4749,3
4749,7603,5
7603,15661,3
15661,5080,2
5080,12171,2
12171,2768,5
2768,9439,2
9439,7651,4
7651,14519,4
14519,3595,1
3595,16732,2
16732,19485,1
19485,299,3
299,13917,3
13917,1491,1
1491,8326,1
8326,15247,1
15247,16285,1
16285,5191,4
5191,12560,3
12560,16455,4
16455,14738,1
14738,9333,1
9333,9994,1
9994,1031,5
1031,18747,1
18747,19581,2
19581,10155,2
10155,3741,2
3741,6092,4
6092,18148,1
18148,18778,1
18778,15510,4
15510,6933,1
6933,13358,2
13358,14004,1
14004,19578,4
19578,1477,4
1477,11211,2
11211,10204,5
10204,19375,1
19375,4258,3
4258,14644,1
14644,7842,2
7842,6973,1
6973,5013,4
5013,19579,1
19579,15806,4
15806,13022,3
13022,3441,1
3441,10452,1
10452,8427,1
8427,15146,2
15146,8125,4
8125,14087,4
14087,13576,1
13576,9074,5
9074,12336,5
12336,6544,5
6544,17871,3
17871,6918,4
6918,17008,1
17008,4663,5
4663,13623,1
13623,11482,2
11482,11796,3
11796,18473,4
18473,3632,4
3632,11546,3
11546,19227,3
19227,3172,1
3172,8139,4
8139,19257,1
19257,12906,3
12906,13679,3
13679,18412,1
18412,10478,1
10478,12943,1
12943,1708,3
1708,8228,5
8228,8464,5
8464,14873,2
14873,4659,5
4659,982,1
982,19726,5
19726,2250,3
2250,16352,1
16352,5674,2
5674,4993,4
4993,14376,2
14376,10880,4
10880,15829,3
15829,1393,1
1393,4828,4
4828,18866,2
18866,19403,5
19403,9671,1
9671,2291,5
2291,8749,5
8749,18733,4
18733,1358,2
1358,18178,2
18178,16482,1
16482,17397,1
17397,17037,1
17037,1927,1
1927,9248,1
9248,14336,3
14336,6496,1
6496,5843,1
5843,5271,1
5271,19883,5
19883,11831,4
11831,3677,3
3677,561,5
561,6639,3
6639,13985,1
13985,3829,1
3829,2272,2
2272,2559,4
2559,13877,1
13877,17534,2
17534,18583,5
18583,6844,1
6844,2252,1
2252,461,2
461,7870,1
7870,16751,4
16751,12700,3
12700,8931,3
8931,5988,3
5988,19461,2
19461,1531,4
1531,18684,5
18684,9505,1
9505,7709,5
7709,1152,2
1152,19163,2
19163,9995,1
9995,11349,2
11349,19305,3
19305,19399,1
19399,11308,2
11308,16639,1
16639,11511,3
11511,4737,1
4737,956,2
956,15600,2
15600,4923,1
4923,4066,2
4066,3373,3
3373,4141,4
4141,1398,5
1398,10504,4
10504,8731,5
8731,14107,4
14107,1894,4
1894,16713,1
16713,533,5
533,16901,1
16901,6297,3
6297,5169,1
5169,15506,5
15506,19083,2
19083,19908,1
19908,19033,5
19033,14252,1
14252,5459,5
5459,14220,2
14220,1803,1
1803,10882,4
10882,3771,1
3771,7331,1
7331,11590,4
11590,12006,4
12006,5402,2
5402,14239,3
14239,2453,3
2453,13742,3
13742,10607,1
10607,19997,5
19997,7587,1
7587,14195,1
14195,6468,1
6468,4365,1
4365,8910,3
8910,12747,1
12747,13705,2
13705,5658,3
5658,14880,4
14880,18220,4
18220,18817,5
18817,12223,1
12223,4499,4
4499,9500,3
9500,14667,1
14667,12713,2
12713,18588,2
18588,5714,5
5714,12797,1
12797,6457,1
6457,11421,1
11421,1415,4
1415,9988,4
9988,19338,4
19338,13632,1
13632,4522,5
4522,15670,2
15670,13167,1
13167,15411,5
15411,14953,1
14953,14514,1
14514,12836,1
12836,13913,1
13913,7717,1
7717,19330,3
19330,16674,3
16674,16777,1
16777,18103,1
18103,3992,3
3992,12575,5
12575,5039,1
5039,13251,2
13251,4965,5
4965,13618,1
13618,18633,4
18633,4603,5
4603,12346,3
12346,6872,3
6872,19848,5
19848,14914,5
14914,10182,3
10182,13518,5
13518,18332,1
18332,5454,5
5454,2829,2
2829,7252,1
7252,7229,5
7229,6921,2
6921,13681,5
13681,5422,3
5422,2847,3
2847,15703,1
15703,369,1
369,11102,1
11102,19705,1
19705,15671,5
15671,8987,1
8987,5568,4
5568,14024,5
14024,18141,1
18141,6796,1
6796,8137,4
8137,12483,4
12483,749,5
749,4209,1
4209,15131,1
15131,12878,4
12878,858,4
858,7656,1
7656,14704,4
14704,14466,1
14466,4628,1
4628,18773,4
18773,3825,1
3825,10697,1
10697,922,1
922,16257,4
16257,3688,5
3688,14189,2
14189,4924,1
4924,18149,5
18149,6089,4
6089,7013,2
7013,7032,3
7032,1912,3
1912,17597,1
17597,16529,1
16529,7219,3
7219,12620,4
12620,11890,3
11890,13626,5
13626,4870,4
4870,9374,4
9374,4527,2
4527,13007,1
13007,10052,4
10052,18923,2
18923,8733,5
8733,15226,3
15226,11761,5
11761,8984,5
8984,8156,2
8156,4675,1
4675,6689,1
6689,6768,2
6768,17358,5
17358,12189,3
12189,15562,5
15562,10459,4
10459,5030,1
5030,17873,1
17873,5953,3
5953,7571,1
7571,13354,1
13354,13116,3
13116,19357,1
19357,19950,1
19950,4416,3
4416,1653,3
1653,13992,1
13992,3136,2
3136,14011,4
14011,6811,1
6811,7663,1
7663,7760,3
7760,17169,1
17169,10885,1
10885,13383,1
13383,5457,1
5457,11691,1
11691,10028,1
10028,16972,2
16972,4448,3
4448,1680,1
1680,15474,2
15474,6622,2
6622,16889,1
16889,7689,1
7689,12934,4
12934,16949,1
16949,9537,2
9537,19229,1
19229,17703,1
17703,1747,1
1747,11347,3
11347,6211,1
6211,14585,2
14585,3750,1
3750,14480,4
14480,7132,1
7132,1628,1
1628,3532,5
3532,11161,4
11161,7741,3
7741,17765,1
17765,10330,4
10330,12852,5
12852,12755,5
12755,19841,1
19841,661,1
661,8264,5
8264,839,5
839,15075,3
15075,14402,4
14402,10159,1
10159,14755,1
14755,10111,1
10111,18938,1
18938,7746,2
7746,17604,5
17604,1411,5
1411,3336,1
3336,14124,5
14124,18095,1
18095,17430,5
17430,17288,1
17288,8426,1
8426,660,3
660,5281,4
5281,10488,3
10488,12631,1
12631,939,1
939,2365,1
2365,7759,2
7759,17934,5
17934,2202,2
2202,17022,2
17022,4826,3
4826,5506,5
5506,13947,4
13947,19637,5
19637,14046,1
14046,9891,5
9891,526,1
526,8551,1
8551,8508,1
8508,17326,4
17326,1244,2
1244,766,1
766,10257,3
10257,9896,3
9896,7166,1
7166,11158,1
11158,11560,1
11560,18557,2
18557,19175,1
19175,7361,1
7361,15627,5
15627,7823,5
7823,15007,4
15007,4982,1
4982,5491,1
5491,15130,4
15130,14383,3
14383,5190,3
5190,16769,4
16769,7247,4
7247,7515,3
7515,907,1
907,4181,5
4181,8738,3
8738,16629,1
16629,19086,5
19086,15523,2
15523,6749,4
6749,14578,2
14578,5499,1
5499,2178,2
